angle, ax, az, gy, dt
-0.3859, 1868, 15288, 160, 0.0030
-0.2651, 1844, 15316, 116, 0.0040
-0.1129, 1776, 15208, 116, 0.0030
-0.2279, 1888, 15168, 107, 0.0030
-0.4675, 1892, 15108, 58, 0.0040
-0.3798, 1828, 15064, 67, 0.0030
-0.2803, 1852, 15216, 48, 0.0030
-0.2634, 1836, 15208, 11, 0.0030
-0.4233, 1920, 15076, 20, 0.0040
-0.6483, 1944, 15104, 20, 0.0030
-0.5452, 1876, 15164, 20, 0.0030
-0.4721, 1928, 15288, 10, 0.0030
-0.3340, 1808, 15220, -8, 0.0040
-0.3172, 1892, 15076, -32, 0.0030
-0.5367, 1924, 15200, -37, 0.0030
-0.4376, 1864, 15284, -39, 0.0040
-0.1961, 1792, 15184, -47, 0.0030
-0.3673, 1940, 15152, -73, 0.0030
-0.4621, 1832, 15096, -96, 0.0030
-0.0806, 1740, 15200, -116, 0.0040
0.0005, 1804, 15228, -144, 0.0030
-0.1994, 1848, 15208, -179, 0.0040
-0.3514, 1892, 15280, -209, 0.0030
-0.3279, 1836, 15208, -181, 0.0030
-0.2658, 1844, 15172, -273, 0.0040
-0.3495, 1880, 15204, -276, 0.0030
-0.5597, 1944, 15072, -296, 0.0040
-0.6455, 1920, 15156, -305, 0.0030
-0.4950, 1896, 15328, -311, 0.0030
-0.4358, 1908, 15324, -329, 0.0040
-0.5615, 1956, 15264, -338, 0.0030
-0.6099, 1924, 15244, -353, 0.0040
-0.6080, 1940, 15148, -350, 0.0030
-0.8310, 2036, 15180, -365, 0.0040
-0.8357, 1956, 15252, -330, 0.0030
-0.6767, 1976, 15372, -363, 0.0030
-0.6494, 1936, 15220, -355, 0.0040
-0.7295, 1992, 15160, -341, 0.0030
-0.9368, 2040, 15160, -347, 0.0040
-0.8207, 1936, 15212, -369, 0.0030
-0.7217, 1984, 15132, -352, 0.0030
-0.7477, 1944, 15172, -352, 0.0040
-0.6922, 1948, 15084, -348, 0.0030
-0.7177, 1960, 15192, -392, 0.0040
-0.8389, 2028, 15200, -411, 0.0030
-0.8643, 1992, 15332, -377, 0.0040
-0.9355, 2072, 15240, -398, 0.0030
-0.8431, 1932, 15248, -402, 0.0030
-0.7106, 1992, 15188, -439, 0.0040
-0.7854, 1964, 15184, -428, 0.0030
-1.0310, 2120, 15156, -456, 0.0040
-1.3233, 2116, 15144, -448, 0.0030
-1.0204, 1976, 15296, -483, 0.0030
-0.9176, 2064, 15180, -490, 0.0040
-1.2275, 2116, 15092, -458, 0.0030
-1.4491, 2200, 15292, -468, 0.0040
-1.7226, 2268, 15124, -450, 0.0030
-1.8319, 2244, 15184, -422, 0.0040
-1.6695, 2184, 15148, -427, 0.0030
