116,64,16036,-10,17,-103,3
200,64,16020,-13,-25,-92,2
116,96,16000,-58,-16,-74,3
156,32,15996,-15,-22,-75,2
268,-16,16064,-37,-20,-100,3
212,44,16012,4,-28,-93,3
352,80,16036,-29,-26,-93,2
244,96,16168,-7,-7,-102,3
248,72,15912,-10,-4,-99,2
224,-4,16044,-1,-30,-81,3
276,-8,16232,-10,-8,-84,2
340,32,16148,-47,-3,-108,3
252,-8,16172,-25,18,-69,2
232,-40,16100,-21,0,-80,3
320,36,16188,-12,-24,-94,2
336,0,16044,-21,9,-106,3
272,-44,16148,-61,24,-115,3
164,-116,16188,-30,21,-118,2
272,0,16120,-26,25,-94,3
280,108,16164,-3,28,-84,2
256,-48,16036,-45,62,-118,3
236,-12,16148,-30,39,-80,2
148,-16,15936,8,63,-92,3
52,40,16028,12,26,-84,2
148,76,16048,-44,15,-105,3
84,152,16080,-43,-4,-96,2
72,144,16072,-30,2,-102,3
128,148,16160,-21,-47,-81,2
180,192,16092,-58,-35,-115,3
184,156,15944,-5,-30,-72,3
256,180,16176,1,-15,-99,2
144,160,16204,-25,1,-78,3
220,112,16172,-18,-6,-103,3
280,176,16212,-50,19,-97,2
264,116,16032,5,3,-74,2
208,140,16152,-21,20,-106,3
268,184,16220,1,7,-90,2
176,124,16248,-43,-30,-103,3
204,228,16108,-61,31,-135,3
208,96,16084,-17,-47,-84,3
188,12,15996,-24,-12,-108,2
224,48,16112,-40,-35,-78,3
212,-4,16044,-61,42,-110,2
196,-24,15880,6,-3,-100,3
280,40,16000,-41,13,-79,2
176,108,15972,-3,-9,-88,3
296,136,16108,-40,8,-97,2
220,52,16008,-22,8,-101,3
256,-44,16128,-17,-17,-86,3
232,-60,16252,-2,-20,-77,2
324,-8,16152,-32,-40,-90,3
356,-20,16084,-43,-8,-102,2
308,-40,16152,-24,6,-100,3
272,84,15956,-16,-27,-105,3
380,160,16144,-11,33,-104,2
244,128,16144,-39,0,-120,3
164,140,16156,-8,42,-89,2
280,20,16260,-7,28,-108,3
224,60,16236,-47,21,-91,2
288,184,15984,-5,22,-105,3
168,92,16156,-24,27,-98,3
236,20,15900,-21,28,-89,2
128,108,16208,-6,-4,-104,3
248,232,16084,-38,9,-102,2
268,132,16116,-49,8,-85,3
224,172,15924,-17,5,-102,2
244,136,16156,-13,2,-67,3
236,160,16168,-6,11,-88,2
108,100,16068,-28,16,-76,3
120,80,16252,-6,6,-91,2
196,152,16132,-42,-7,-64,3
172,220,16148,-4,-33,-88,2
228,156,15972,-18,-20,-68,3
168,136,16004,-17,0,-90,3
204,160,16208,-32,-35,-90,2
176,128,16120,-24,-8,-75,3
276,192,16112,-41,5,-95,2
248,108,16044,-24,26,-97,3
124,-56,16100,2,22,-91,2
156,48,16148,-39,32,-81,3
172,116,16040,-30,35,-103,3
204,4,16004,-35,37,-98,2
116,4,16096,-10,15,-86,2
200,-12,16116,-24,6,-99,3
196,124,16060,-16,-38,-73,3
220,12,16156,-37,-35,-114,2
256,36,16180,-24,-17,-96,3
260,68,16024,-26,-36,-84,3
200,84,16088,-43,-24,-71,2
280,132,16172,-25,-7,-85,3
188,8,15844,-38,22,-97,2
276,-36,16076,-8,10,-91,3
356,116,16100,-10,4,-87,2
344,20,15972,-29,24,-81,3
132,-56,16044,-45,8,-88,2
204,-40,16012,-7,2,-113,3
