0,kd: 14.00, angle_mean: -2.0122, angle_summ: -10.0608, angle_diff: 16.9470, power: 208.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 10.3932, angle_summ: 51.9660, angle_diff: -8.5209, power: 27.56
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -3.6501, angle_summ: -18.2507, angle_diff: -21.9975, power: -359.54
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -18.2307, angle_summ: -91.1533, angle_diff: -8.3194, power: -374.07
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -28.3080, angle_summ: -141.5398, angle_diff: -15.8290, power: -621.60
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -36.9163, angle_summ: -184.5814, angle_diff: -4.4700, power: -584.21
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -39.2640, angle_summ: -196.3198, angle_diff: 6.0986, power: -469.42
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -35.1832, angle_summ: -175.9162, angle_diff: 1.3291, power: -478.53
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -31.3392, angle_summ: -156.6962, angle_diff: 9.0822, power: -315.67
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -30.4527, angle_summ: -152.2637, angle_diff: -3.9605, power: -485.74
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -19.5131, angle_summ: -97.5657, angle_diff: 12.1391, power: -105.77
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -23.8751, angle_summ: -119.3753, angle_diff: -4.4547, power: -399.72
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -18.4671, angle_summ: -92.3357, angle_diff: 3.2840, power: -214.97
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -20.6473, angle_summ: -103.2365, angle_diff: 5.2489, power: -218.26
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.4660, angle_summ: -62.3300, angle_diff: -7.4084, power: -279.86
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.9609, angle_summ: -64.8044, angle_diff: 16.9729, power: 54.48
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 2.7953, angle_summ: 13.9765, angle_diff: 8.4806, power: 158.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 10.5561, angle_summ: 52.7807, angle_diff: 15.7103, power: 369.10
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 9.2679, angle_summ: 46.3396, angle_diff: -6.5881, power: 38.72
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 18.9184, angle_summ: 94.5921, angle_diff: 5.2734, power: 341.14
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.7982, angle_summ: 103.9911, angle_diff: -0.3725, power: 288.66
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 18.3509, angle_summ: 91.7547, angle_diff: -4.2796, power: 199.39
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 12.5352, angle_summ: 62.6761, angle_diff: 10.0509, power: 317.84
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 23.4818, angle_summ: 117.4090, angle_diff: -4.9680, power: 262.25
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 10.4212, angle_summ: 52.1061, angle_diff: -13.4021, power: -40.38
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -3.9953, angle_summ: -19.9763, angle_diff: -15.3340, power: -271.13
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -7.9372, angle_summ: -39.6862, angle_diff: -1.9374, power: -139.28
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -19.7759, angle_summ: -98.8794, angle_diff: -18.4306, power: -537.46
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -21.8702, angle_summ: -109.3508, angle_diff: 8.7399, power: -186.67
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -27.0123, angle_summ: -135.0617, angle_diff: -1.8092, power: -407.01
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -18.2875, angle_summ: -91.4377, angle_diff: 0.4995, power: -251.41
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -24.7326, angle_summ: -123.6632, angle_diff: 4.8045, power: -282.21
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -16.1852, angle_summ: -80.9261, angle_diff: -5.1285, power: -300.50
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -25.4195, angle_summ: -127.0973, angle_diff: 3.6248, power: -308.43
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -17.6146, angle_summ: -88.0732, angle_diff: -2.9592, power: -290.32
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.9105, angle_summ: -64.5525, angle_diff: 14.4360, power: 19.68
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 1.0141, angle_summ: 5.0706, angle_diff: 11.5261, power: 175.69
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 13.4359, angle_summ: 67.1796, angle_diff: 21.9415, power: 497.03
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 30.6404, angle_summ: 153.2022, angle_diff: 15.3745, power: 648.19
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 24.6638, angle_summ: 123.3191, angle_diff: -16.3102, power: 120.16
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 27.5545, angle_summ: 137.7724, angle_diff: 0.6436, power: 398.36
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 28.1249, angle_summ: 140.6247, angle_diff: -3.2881, power: 351.37
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.0418, angle_summ: 100.2091, angle_diff: -9.6681, power: 147.84
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 9.9317, angle_summ: 49.6585, angle_diff: 10.2076, power: 283.24
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.4515, angle_summ: 102.2573, angle_diff: -6.7738, power: 194.15
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 7.9537, angle_summ: 39.7685, angle_diff: -15.6917, power: -107.30
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 1.3748, angle_summ: 6.8741, angle_diff: -1.4078, power: -0.28
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -6.8651, angle_summ: -34.3254, angle_diff: -7.3303, power: -199.63
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -17.3211, angle_summ: -86.6054, angle_diff: -16.0121, power: -468.92
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.5536, angle_summ: -67.7681, angle_diff: 13.5577, power: -1.70
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -16.7150, angle_summ: -83.5749, angle_diff: -11.4198, power: -396.06
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -28.0187, angle_summ: -140.0934, angle_diff: -5.2376, power: -469.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -20.0682, angle_summ: -100.3409, angle_diff: 15.6779, power: -64.07
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -7.9997, angle_summ: -39.9984, angle_diff: -5.6358, power: -191.94
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.6192, angle_summ: -68.0961, angle_diff: 10.4850, power: -45.65
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 1.1298, angle_summ: 5.6490, angle_diff: 21.1461, power: 312.01
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 5.5472, angle_summ: 27.7358, angle_diff: -9.6540, power: -56.77
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 11.7150, angle_summ: 58.5751, angle_diff: 8.3021, power: 281.76
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 0.2069, angle_summ: 1.0343, angle_diff: -12.9966, power: -179.03
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 3.1406, angle_summ: 15.7030, angle_diff: -4.2841, power: -15.60
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 1.7289, angle_summ: 8.6444, angle_diff: 13.8598, power: 218.47
