# angle, angle_rate, angle_acce, power
-1.611627817153930664e+00,-2.711381614208221436e-01,-1.860741972923278809e+00,-9.802011108398437500e+01
-1.692824482917785645e+00,-2.745094895362854004e-01,-3.845474720001220703e+00,-1.027929534912109375e+02
-1.800551533699035645e+00,-2.787895202636718750e-01,-6.746238231658935547e+00,-1.084359359741210938e+02
-1.776871919631958008e+00,-2.826187312602996826e-01,1.849181652069091797e+00,-1.054051132202148438e+02
-1.647104620933532715e+00,-2.849588394165039062e-01,1.341406726837158203e+01,-9.800555419921875000e+01
-1.517596721649169922e+00,-2.858868837356567383e-01,1.488734912872314453e+01,-9.238912963867187500e+01
-1.440308809280395508e+00,-2.859956026077270508e-01,1.042170047760009766e+01,-8.992866516113281250e+01
-1.364874482154846191e+00,-2.853445708751678467e-01,8.269028663635253906e+00,-8.657201385498046875e+01
-1.202773213386535645e+00,-2.831050753593444824e-01,1.498658657073974609e+01,-7.765000152587890625e+01
-1.008094787597656250e+00,-2.790307700634002686e-01,1.971177673339843750e+01,-6.808392333984375000e+01
-9.185097217559814453e-01,-2.742643356323242188e-01,1.320796012878417969e+01,-6.555637359619140625e+01
-9.403140544891357422e-01,-2.699542641639709473e-01,3.215593814849853516e+00,-6.809845733642578125e+01
-9.123404026031494141e-01,-2.655799388885498047e-01,1.001853466033935547e+00,-6.554611206054687500e+01
-7.769529819488525391e-01,-2.600704729557037354e-01,1.122322750091552734e+01,-5.711194610595703125e+01
-6.782218217849731445e-01,-2.538491487503051758e-01,1.309345626831054688e+01,-5.281118774414062500e+01
-6.637454032897949219e-01,-2.477941513061523438e-01,4.627807617187500000e+00,-5.309661865234375000e+01
-6.775573492050170898e-01,-2.421800196170806885e-01,-2.576885521411895752e-01,-5.366781234741210938e+01
-7.365516424179077148e-01,-2.374365329742431641e-01,-3.509597063064575195e+00,-5.661941909790039062e+01
-8.572857379913330078e-01,-2.341375648975372314e-01,-9.227153778076171875e+00,-6.273135757446289062e+01
-9.498668909072875977e-01,-2.319293469190597534e-01,-9.479063034057617188e+00,-6.609419250488281250e+01
-9.666184186935424805e-01,-2.299990653991699219e-01,-3.288223028182983398e+00,-6.528416442871093750e+01
-9.489331245422363281e-01,-2.279884219169616699e-01,1.246128201484680176e+00,-6.369067382812500000e+01
-9.653414487838745117e-01,-2.262424230575561523e-01,3.987999856472015381e-01,-6.485655212402343750e+01
-9.871878623962402344e-01,-2.248021811246871948e-01,-1.234787821769714355e+00,-6.577759552001953125e+01
-9.788948297500610352e-01,-2.233510166406631470e-01,4.827694594860076904e-01,-6.472982025146484375e+01
-9.306411743164062500e-01,-2.214898765087127686e-01,3.940784692764282227e+00,-6.170364379882812500e+01
-8.855969905853271484e-01,-2.192713469266891479e-01,5.009487152099609375e+00,-5.955916595458984375e+01
-8.601254224777221680e-01,-2.169090360403060913e-01,4.017120361328125000e+00,-5.855758666992187500e+01
-8.206115961074829102e-01,-2.142697125673294067e-01,4.665975570678710938e+00,-5.630643081665039062e+01
-7.521413564682006836e-01,-2.110776305198669434e-01,6.780479431152343750e+00,-5.245686340332031250e+01
-6.638331413269042969e-01,-2.071620672941207886e-01,8.650708198547363281e+00,-4.782580184936523438e+01
-5.863108634948730469e-01,-2.026670724153518677e-01,8.826280593872070312e+00,-4.416377639770507812e+01
-4.899342358112335205e-01,-1.974330693483352661e-01,9.238494873046875000e+00,-3.906639480590820312e+01
-3.882605135440826416e-01,-1.914440095424652100e-01,1.068887615203857422e+01,-3.390538024902343750e+01
-2.748375535011291504e-01,-1.846201866865158081e-01,1.195605182647705078e+01,-2.802927398681640625e+01
-1.548164635896682739e-01,-1.769373416900634766e-01,1.225376224517822266e+01,-2.187115097045898438e+01
-1.736656576395034790e-02,-1.682641357183456421e-01,1.309345626831054688e+01,-1.465374946594238281e+01
1.256632059812545776e-01,-1.585942953824996948e-01,1.445223522186279297e+01,-7.306093692779541016e+00
2.830460071563720703e-01,-1.478341221809387207e-01,1.558200645446777344e+01,9.379887580871582031e-01
4.544633030891418457e-01,-1.358977854251861572e-01,1.623085975646972656e+01,9.909595489501953125e+00
6.243048906326293945e-01,-1.228598505258560181e-01,1.746750068664550781e+01,1.863858795166015625e+01
7.978427410125732422e-01,-1.087384298443794250e-01,1.830719566345214844e+01,2.773052215576171875e+01
9.898399114608764648e-01,-9.340310841798782349e-02,1.949803543090820312e+01,3.801950454711914062e+01
1.180942535400390625e+00,-7.692352682352066040e-02,2.053620338439941406e+01,4.803285598754882812e+01
1.393211007118225098e+00,-5.914523825049400330e-02,2.169650840759277344e+01,5.950183105468750000e+01
1.614845275878906250e+00,-4.003952443599700928e-02,2.295605087280273438e+01,7.130105590820312500e+01
1.846902489662170410e+00,-1.956852339208126068e-02,2.420032501220703125e+01,8.371160888671875000e+01
2.101099967956542969e+00,2.420902717858552933e-03,2.543696784973144531e+01,9.745645904541015625e+01
2.365474700927734375e+00,2.595460414886474609e-02,2.665834045410156250e+01,1.115855102539062500e+02
2.652307271957397461e+00,5.117994546890258789e-02,2.762017250061035156e+01,1.270897903442382812e+02
2.911369085311889648e+00,7.773464173078536987e-02,2.662780761718750000e+01,1.405970001220703125e+02
3.139363050460815430e+00,1.052415370941162109e-01,2.328429603576660156e+01,1.527674865722656250e+02
3.291856288909912109e+00,1.328980177640914917e-01,1.733773040771484375e+01,1.608253631591796875e+02
3.273468494415283203e+00,1.589878052473068237e-01,2.108723640441894531e+00,1.594830322265625000e+02
3.093471050262451172e+00,1.819731295108795166e-01,-1.412028408050537109e+01,1.508784179687500000e+02
2.814897060394287109e+00,2.010234445333480835e-01,-2.495234680175781250e+01,1.386755523681640625e+02
2.482463836669921875e+00,2.157969027757644653e-01,-3.269280242919921875e+01,1.244844665527343750e+02
2.120499372482299805e+00,2.262120544910430908e-01,-3.608211517333984375e+01,1.090041351318359375e+02
1.777181744575500488e+00,2.326732724905014038e-01,-3.548669815063476562e+01,9.482659149169921875e+01
1.455382823944091797e+00,2.355934530496597290e-01,-3.420425415039062500e+01,8.130538940429687500e+01
1.060038447380065918e+00,2.344141453504562378e-01,-3.979204177856445312e+01,6.243597412109375000e+01
6.568012237548828125e-01,2.292614430189132690e-01,-4.205921554565429688e+01,4.401073837280273438e+01
3.350738286972045898e-01,2.211491167545318604e-01,-3.818898773193359375e+01,3.049718666076660156e+01
