236,-17036,-157,287,119
-372,152,-17144,-159,255,127
-360,320,-17220,-142,260,120
-412,328,-17272,-163,243,129
-508,340,-17192,-156,245,108
-324,196,-17156,-158,278,121
-452,336,-17300,-187,304,86
-332,308,-17296,-185,274,112
-392,292,-17068,-166,255,95
-292,220,-17460,-199,259,107
-300,236,-17272,-144,270,123
-304,124,-17100,-169,184,131
-380,212,-17228,-152,196,100
-416,264,-17268,-149,191,120
-448,116,-17276,-180,241,139
-320,240,-17136,-188,208,86
-356,304,-17136,-160,255,127
-420,280,-17176,-149,263,103
-356,188,-17288,-146,311,112
-376,212,-16924,-168,286,129
-436,296,-17244,-169,276,119
-200,172,-17152,-165,278,107
-344,128,-17224,-168,262,123
-228,244,-17064,-153,248,114
-300,312,-17076,-148,213,122
-412,188,-17288,-160,225,126
-272,236,-17248,-186,299,116
-344,268,-17196,-154,258,93
-416,280,-17152,-156,261,131
-332,232,-17320,-170,262,127
-428,204,-17276,-178,284,97
-388,284,-17080,-160,269,121
-328,320,-16968,-186,243,113
-300,252,-17240,-163,239,125
-376,212,-17288,-162,241,103
-260,208,-17172,-172,212,140
-292,360,-17148,-162,201,115
-448,252,-17148,-145,252,114
-420,260,-17204,-177,264,99
-468,260,-17156,-158,280,123
-300,348,-17228,-156,286,107
-368,172,-17232,-193,285,121
-384,248,-17300,-184,286,111
-364,252,-17296,-148,241,152
-280,300,-17084,-140,244,102
-452,328,-17272,-135,239,119
-444,212,-17368,-148,245,108
-404,180,-17160,-159,231,104
-396,320,-17264,-166,242,160
-412,188,-17304,-160,253,130
-508,208,-17300,-174,257,123
-328,172,-17284,-192,270,112
-456,276,-16956,-165,249,123
-428,184,-17144,-173,244,114
-336,172,-17212,-168,255,118
-376,216,-17176,-186,220,120
-288,300,-17212,-133,238,114
-444,296,-17300,-134,233,109
-256,220,-17080,-143,235,132
-276,108,-17284,-181,261,99
-340,208,-17256,-154,249,117
-456,324,-17232,-179,270,100
-364,264,-17124,-193,307,107
-412,208,-17244,-189,289,128
-368,188,-17100,-191,226,130
-388,276,-17204,-162,258,139
-296,216,-17196,-173,286,113
-420,196,-17116,-164,219,136
-296,212,-17200,-157,235,94
-384,352,-17116,-144,237,148
-248,256,-17112,-172,216,122
-268,296,-17232,-184,277,136
-432,284,-17112,-145,250,125
-336,364,-17212,-172,286,79
-352,208,-17240,-164,271,122
-280,260,-17156,-159,279,117
-472,348,-17088,-154,278,96
-444,224,-17240,-160,209,100
-400,316,-17332,-162,247,122
-384,172,-17184,-171,216,123
-320,236,-17116,-168,202,140
-508,296,-17112,-162,253,105
-456,192,-17352,-175,284,114
-384,268,-17188,-184,277,130
-244,148,-17096,-184,287,133
-364,312,-17132,-172,243,107
-416,280,-17264,-178,281,119
-328,164,-17124,-157,264,119
-352,304,-17008,-157,242,112
-420,252,-17224,-155,228,120
-368,260,-17380,-145,248,92
-500,228,-17256,-173,229,129
-284,220,-17136,-149,202,136
-360,188,-17156,-164,249,93
-416,152,-17296,-168,311,138
-288,308,-17248,-171,293,134
-352,296,-17092,-152,229,142
-428,248,-17324,-161,258,100
-240,236,-17192,-167,258,107
-392,208,-17204,-168,237,141
-400,140,-17240,-159,197,96
-324,104,-17180,-155,204,123
-372,344,-17280,-154,249,105
-300,192,-17152,-167,243,122
-456,300,-17108,-156,247,120
-344,248,-17268,-160,285,147
-356,292,-17372,-153,304,105
-360,152,-17208,-189,320,93
-304,312,-17144,-154,240,115
-380,268,-17152,-183,241,91
-300,292,-17224,-181,267,124
-292,280,-17204,-143,226,115
-352,288,-17108,-183,198,121
-444,300,-17404,-172,221,127
-376,248,-17236,-183,268,137
-336,212,-17352,-157,234,95
-260,192,-17060,-184,259,118
-340,340,-17220,-146,240,104
-312,184,-17400,-168,291,113
-416,156,-17148,-199,241,109
-264,348,-17156,-142,245,133
-352,216,-17316,-142,236,131
-436,232,-17276,-174,257,116
-384,180,-17200,-147,217,112
-336,300,-17224,-170,241,122
